flr,km,cls_idx,attacker_idxs,avg_ks_gap[id_],avg_us_score[id_],raw_us_score[id_],avg_us_score[id_],avg_d_to_centroids[id_],var_centroid,var_ks_gap,var_us_score
1,1,[0 5 8],"[0, 5, 8]",28.500690485014474,0.9941030252722894,[0.65258145 0.67798704 0.6741091 ],0.6682258645693461,0.060632989359544975,0.26214399411400585,1202.4363877199733,41.4131528615597
1,1,[1 2 3 4 6 7 9],"[0, 5, 8]",1.5969665691522619,0.05980489505391458,"[-0.9583357  -0.93971574 -0.97729808 -0.84641057 -0.75066936 -0.89675164
 -0.7789464 ]",-0.8783039280346462,0.03790379010566019,0.26214399411400585,1202.4363877199733,41.4131528615597
2,1,[0 1 2 3 4 5 7 8 9],[6],0.7543218420843145,0.10892241814033957,"[-0.83851051 -0.69569826 -0.34694391 -0.72011298 -0.70410895 -0.57968885
 -0.69747043 -0.78190595 -0.47314584]",-0.6486206319597032,0.07939063818839258,3.969531909419629,1815.1101762293606,35.80138898375003
2,1,[6],[6],38.507198658028315,1.0,[0.90483934],0.9048393368721008,0.0,3.969531909419629,1815.1101762293606,35.80138898375003
3,1,[0 2 3 4 6 7 8 9],"[1, 5]",1.49670343748986,0.16134595026535842,"[-0.87815529 -0.72911704 -0.9494518  -0.81619179 -0.70932198 -0.92231858
 -0.25478339 -0.2688747 ]",-0.6910268217325211,0.07591109847544097,0.9920831427695469,1662.813968201333,29.392901170613666
3,1,[1 5],"[1, 5]",37.5167126675656,0.980718856920978,[0.59046614 0.65223068],0.6213484108448029,0.14160672476677455,0.9920831427695469,1662.813968201333,29.392901170613666
4,1,[2 6 7],"[2, 6, 7]",30.847616181813663,0.9709619588835845,[0.67335188 0.71537042 0.6178509 ],0.66885773340861,0.07047818233691595,7.538172913928462e-06,1309.9154001447541,35.25016340472368
4,1,[0 1 3 4 5 8 9],"[2, 6, 7]",1.6632209551497041,0.10144881788812568,"[-0.47150168 -0.70749766 -0.81847602 -0.66976619 -0.88641405 -0.79948121
 -0.8541677 ]",-0.7439006439277104,0.07062403520211565,7.538172913928462e-06,1309.9154001447541,35.25016340472368
5,1,[3 4 9],"[3, 4, 9]",34.27822144103618,0.9678485871644078,[0.64755446 0.6393857  0.7261169 ],0.6710190176963806,0.12773480708069038,1.5010036813379124,1450.7151543804252,36.879439584020346
5,1,[0 1 2 5 6 7 8],"[3, 4, 9]",1.885747631287016,0.08613994571301412,"[-0.82287586 -0.91921932 -0.85069782 -0.98758316 -0.82481825 -0.87671953
 -0.59784198]",-0.8399651306016105,0.053893744679354275,1.5010036813379124,1450.7151543804252,36.879439584020346
