flr,pred_idxs_1,pred_idxs_2,true_positive_1,true_positive_2,missed_idxs_1,missed_idxs_2,freq,saved_pairwise_sim
396,"[1, 2, 3, 4, 7]",[1],1.0,1.0,[],[],"[1, 1, 3, 4, 4, 1, 3, 2, 1, 2]","[[1.         0.05060024 0.95040853 0.93391357 0.93566165 0.9678356
  0.97798082 0.92962452 0.97251738 0.97487631 1.         0.02554576
  0.77750964 0.74323215 0.74666124 0.82083837 0.85192229 0.73493702
  0.83472568 0.84185513]
 [0.         1.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         1.
  0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.95030663 0.04864946 1.         0.93337335 0.92712729 0.96183502
  0.97239531 0.9039387  0.96687656 0.96848294 0.77728453 0.02455982
  1.         0.74209676 0.73011482 0.8048267  0.83399061 0.6903202
  0.81832923 0.82267353]
 [0.93039135 0.         0.92996624 1.         0.91282988 0.95357615
  0.95683337 0.88968582 0.94346058 0.95319026 0.73650087 0.
  0.73560323 1.         0.70498361 0.78480606 0.79252906 0.66816453
  0.76248373 0.78393141]
 [0.93541759 0.0469988  0.92700085 0.91692677 1.         0.94441398
  0.95289446 0.892659   0.94611701 0.94769646 0.74618036 0.02369605
  0.72987583 0.71197434 1.         0.76440431 0.78307174 0.67267233
  0.7681819  0.77147979]
 [0.96857811 0.06980792 0.96277485 0.95690276 0.9458336  1.
  0.99015271 0.92769349 0.98304473 0.98692411 0.82266209 0.03546494
  0.80700868 0.7924379  0.76724431 1.         0.90036935 0.73133438
  0.86988285 0.88566893]
 [0.97844092 0.07043818 0.97302754 0.95987395 0.95405303 0.99006355
  1.         0.93682759 0.99458874 0.99502024 0.85348822 0.03585068
  0.8359122  0.79996703 0.78577242 0.90040919 1.         0.74880228
  0.92701515 0.93054883]
 [0.92745148 0.02088836 0.90116407 0.89201681 0.88974617 0.92383134
  0.93349046 1.         0.92798111 0.9362912  0.73083339 0.01045953
  0.68584368 0.67163538 0.66823449 0.72436927 0.74218691 1.
  0.73197791 0.74790063]
 [0.97360435 0.08496399 0.96823244 0.94834934 0.94835296 0.98332097
  0.99476964 0.93275096 1.         0.98833772 0.83774041 0.04332052
  0.82182331 0.77277306 0.77284162 0.87094258 0.92758061 0.74087848
  1.         0.89222192]
 [0.9753746  0.06593637 0.96914729 0.95636255 0.94882534 0.9868697
  0.9950925  0.93927969 0.98809524 1.         0.84314166 0.03347309
  0.82429388 0.79116389 0.77376827 0.88543283 0.93037756 0.75376365
  0.89111253 1.        ]]"
397,"[1, 5, 6, 8, 9]",[6 8],1.0,1.0,[],[],"[3, 2, 4, 2, 2, 3, 1, 1, 2, 2]","[[1.         0.87962362 0.88556184 0.93367165 0.84628719 0.896423
  0.08553692 0.9402039  0.11698501 0.92850395 1.         0.65331477
  0.66191159 0.74280453 0.60832537 0.6785063  0.04366534 0.75549117
  0.06018467 0.73273981]
 [0.88546993 1.         0.86463364 0.91168091 0.84290091 0.88957257
  0.13024025 0.92690603 0.16844907 0.89488148 0.66190715 1.
  0.63255782 0.70323087 0.60405542 0.66818084 0.0673675  0.72999164
  0.08805486 0.67623396]
 [0.89027508 0.8635858  1.         0.90678419 0.81976135 0.8657396
  0.12350855 0.91679965 0.16205109 0.91386122 0.66901773 0.63113894
  1.         0.69521446 0.57589407 0.6341429  0.06376614 0.71209388
  0.0845957  0.70698084]
 [0.93431494 0.9080838  0.90373028 1.         0.8510441  0.91644105
  0.09440503 0.96378546 0.13463784 0.94503607 0.74405842 0.69717228
  0.69018855 1.         0.61461321 0.71142223 0.04832767 0.81010306
  0.06973215 0.76602941]
 [0.83190795 0.81941226 0.79439768 0.8355146  1.         0.83419477
  0.         0.86422872 0.         0.84352456 0.59044187 0.57545488
  0.54700855 0.59504256 1.         0.59336728 0.         0.63197624
  0.         0.60494069]
 [0.88877623 0.87535923 0.84959294 0.90941061 0.83713618 1.
  0.01733312 0.94131206 0.05608742 0.89707145 0.6667475  0.647303
  0.61261928 0.69940186 0.59689965 1.         0.00868687 0.75799075
  0.02843751 0.67945209]
 [0.         0.         0.         0.         0.         0.
  1.         0.         0.45439686 0.         0.         0.
  0.         0.         0.         0.         1.         0.
  0.26078982 0.        ]
 [0.94061894 0.92370446 0.91380341 0.96371973 0.87660243 0.94568874
  0.09061593 1.         0.13856069 0.95323772 0.75617719 0.7239064
  0.7067377  0.80970814 0.6490336  0.7671851  0.04634854 1.
  0.07177192 0.78398622]
 [0.16646094 0.17470103 0.17473897 0.17512464 0.13678142 0.17080975
  0.52898259 0.1822695  1.         0.17292168 0.08741635 0.09197413
  0.09203594 0.09226177 0.07137568 0.08987733 0.31355145 0.09613186
  1.         0.09101292]
 [0.92655616 0.88653008 0.90773194 0.94297543 0.85305974 0.90155058
  0.06114963 0.95159574 0.100453   1.         0.72922243 0.66363635
  0.69675057 0.76178882 0.61721879 0.68669278 0.03107913 0.78052751
  0.0515685  1.        ]]"
398,"[0, 6, 7, 8, 9]",[8],1.0,1.0,[],[],"[4, 2, 4, 2, 1, 1, 2, 3, 4, 4]","[[1.00000000e+00 9.76247460e-01 9.76551355e-01 9.75019095e-01
  9.80946061e-01 9.67876344e-01 9.85235866e-01 9.66868415e-01
  2.88435859e-02 9.74491386e-01 1.00000000e+00 8.46415239e-01
  8.47054390e-01 8.42049195e-01 8.62059788e-01 8.21284953e-01
  8.78581023e-01 8.18448815e-01 1.45113819e-02 8.40415061e-01]
 [9.75889256e-01 1.00000000e+00 9.71870542e-01 9.72592892e-01
  9.72935823e-01 9.67965950e-01 9.79384228e-01 9.61622954e-01
  1.41992344e-02 9.73868139e-01 8.45255968e-01 1.00000000e+00
  8.32772209e-01 8.34607302e-01 8.36151310e-01 8.21547082e-01
  8.57081402e-01 8.04775932e-01 7.07282688e-03 8.38739081e-01]
 [9.75889256e-01 9.71505983e-01 1.00000000e+00 9.74075572e-01
  9.74926533e-01 9.60259857e-01 9.82400072e-01 9.71306882e-01
  1.42437461e-03 9.76227574e-01 8.44911637e-01 8.31699709e-01
  1.00000000e+00 8.39192345e-01 8.41922039e-01 8.01133653e-01
  8.67683551e-01 8.30655190e-01 7.04782746e-04 8.46325052e-01]
 [9.74514118e-01 9.72454279e-01 9.74277817e-01 1.00000000e+00
  9.72888425e-01 9.59722222e-01 9.82625135e-01 9.64223268e-01
  9.21392326e-03 9.74402351e-01 8.40452655e-01 8.34187111e-01
  8.39811158e-01 1.00000000e+00 8.35514153e-01 7.99837631e-01
  8.68276023e-01 8.11068793e-01 4.55022919e-03 8.39871672e-01]
 [9.81573157e-01 9.74215399e-01 9.76417618e-01 9.74300220e-01
  1.00000000e+00 9.67473118e-01 9.84830753e-01 9.63640439e-01
  6.08029912e-02 9.75826915e-01 8.64345096e-01 8.40072997e-01
  8.46688851e-01 8.39857942e-01 1.00000000e+00 8.20160120e-01
  8.77368683e-01 8.09414188e-01 3.08383466e-02 8.44583114e-01]
 [9.67225889e-01 9.67803116e-01 9.60547432e-01 9.59698073e-01
  9.65683951e-01 1.00000000e+00 9.72542312e-01 9.48397220e-01
  6.49870916e-03 9.62694208e-01 8.19231210e-01 8.20848602e-01
  8.01627516e-01 7.99563400e-01 8.15028965e-01 1.00000000e+00
  8.34589478e-01 7.73224862e-01 3.18642157e-03 8.06983359e-01]
 [9.85056839e-01 9.79408444e-01 9.82658702e-01 9.82747001e-01
  9.84121718e-01 9.72670251e-01 1.00000000e+00 9.72113876e-01
  1.11279266e-02 9.83261363e-01 8.77470235e-01 8.56854402e-01
  8.68317920e-01 8.68401139e-01 8.74161997e-01 8.34972685e-01
  1.00000000e+00 8.33258263e-01 5.49574296e-03 8.70302648e-01]
 [9.66217455e-01 9.61435990e-01 9.71558488e-01 9.64235971e-01
  9.61655133e-01 9.48431900e-01 9.72002161e-01 1.00000000e+00
  7.16638476e-03 9.63361973e-01 8.16419801e-01 8.04072985e-01
  8.31128468e-01 8.10869004e-01 8.04037620e-01 7.73295649e-01
  8.32923244e-01 1.00000000e+00 3.49757506e-03 8.08703213e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00]
 [9.73689036e-01 9.73447731e-01 9.76150143e-01 9.74120501e-01
  9.74215565e-01 9.62320789e-01 9.82940223e-01 9.62967944e-01
  0.00000000e+00 1.00000000e+00 8.38065162e-01 8.37590386e-01
  8.46216668e-01 8.39139721e-01 8.39637809e-01 8.06366361e-01
  8.69585926e-01 8.08031790e-01 0.00000000e+00 1.00000000e+00]]"
399,"[0, 1, 2, 6, 9]",[0 2 9],1.0,1.0,[],[],"[1, 2, 1, 1, 2, 3, 2, 1, 1, 1]","[[1.         0.12034904 0.         0.0965715  0.10387425 0.10979865
  0.08093278 0.10387513 0.00431212 0.         1.         0.06220944
  0.         0.04958074 0.0534314  0.0565755  0.04136392 0.05335959
  0.00222842 0.        ]
 [0.41891456 1.         0.33941993 0.83384641 0.83226627 0.82496112
  0.76482244 0.83141509 0.76778751 0.39848154 0.23805509 1.
  0.18751058 0.59293473 0.59094883 0.5820818  0.515608   0.5897418
  0.51852366 0.22462142]
 [0.         0.         1.         0.         0.         0.
  0.         0.         0.         0.69755218 0.         0.
  1.         0.         0.         0.         0.         0.
  0.         0.4499902 ]
 [0.50604049 0.86247818 0.45324388 1.         0.97677091 0.99075203
  0.91285627 0.98679308 0.96536538 0.50761769 0.29745652 0.62965685
  0.26080678 1.         0.84773011 0.90429721 0.70521157 0.88481821
  0.81398828 0.29843053]
 [0.49651865 0.85731239 0.43816572 0.97608907 1.         0.96759006
  0.89349947 0.967169   0.93187761 0.49154436 0.2907433  0.62276561
  0.25070756 0.84564973 1.         0.82054234 0.67407946 0.81901364
  0.73923992 0.28710313]
 [0.5117582  0.85472949 0.45153779 0.99080673 0.96848067 1.
  0.90268252 0.97797466 0.96256709 0.50964908 0.30150105 0.61916909
  0.25961329 0.90414269 0.82267528 1.         0.68829213 0.85131624
  0.80611019 0.29984638]
 [0.44390649 0.78464223 0.39493706 0.90363935 0.8854141  0.89263946
  1.         0.9097458  0.84522226 0.43413234 0.25454751 0.53639784
  0.22238218 0.68988793 0.66175874 0.67261757 1.         0.69978214
  0.60673546 0.24788341]
 [0.50092221 0.85787086 0.4430765  0.98654746 0.96749569 0.97755265
  0.91685719 1.         0.94550209 0.49928902 0.29378591 0.62330409
  0.2539785  0.88375422 0.81980372 0.85018466 0.71198065 1.
  0.76656438 0.29253137]
 [0.49951584 0.82328098 0.49734864 0.96811875 0.93905442 0.96557232
  0.87132297 0.9507742  1.         0.55604083 0.29281153 0.57998841
  0.2912321  0.82164456 0.7533428  0.81439041 0.64155492 0.7782213
  1.         0.33377468]
 [0.09199059 0.17315881 0.72534237 0.18226289 0.17824017 0.18815419
  0.15077732 0.18361348 0.19799073 1.         0.04703993 0.09056683
  0.47586262 0.09554407 0.0933283  0.09882438 0.07829134 0.09628696
  0.10423974 1.        ]]"
400,"[1, 2, 3, 5, 9]",[2 3 9],1.0,1.0,[],[],"[2, 3, 3, 3, 2, 3, 2, 2, 1, 1]","[[1.         0.94511763 0.08964125 0.09974257 0.94757777 0.95296515
  0.96614015 0.9682396  0.99229195 0.08033422 1.         0.76621575
  0.04584993 0.05116465 0.77126395 0.7831582  0.81626294 0.82219953
  0.91249223 0.04105292]
 [0.94158837 1.         0.03014651 0.00893985 0.91366244 0.91400041
  0.91721245 0.92803275 0.94652267 0.02119421 0.75880854 1.
  0.01518892 0.00451411 0.70654041 0.70725413 0.71277012 0.73214682
  0.76899055 0.01066966]
 [0.14075519 0.13991255 1.         0.55310087 0.14110455 0.13197473
  0.12854758 0.14522732 0.14331751 0.52158141 0.07323588 0.07283129
  1.         0.33141206 0.07348125 0.06857655 0.06671403 0.07565856
  0.07461408 0.30809585]
 [0.14766885 0.11838434 0.55179376 1.         0.13084621 0.1292847
  0.13428364 0.14419306 0.13774333 0.4523334  0.07675409 0.06110947
  0.33021943 1.         0.06773464 0.06691507 0.06958798 0.07499269
  0.0713848  0.25971374]
 [0.94446907 0.91409536 0.03676747 0.02827054 1.         0.92761361
  0.92085099 0.9350571  0.94752428 0.02653352 0.76466235 0.70734333
  0.01857189 0.01424313 1.         0.7311647  0.7189655  0.74557037
  0.77115013 0.01337652]
 [0.94885659 0.91213825 0.         0.         0.92567935 1.
  0.92654424 0.93156647 0.94965815 0.         0.77387511 0.70409694
  0.         0.         0.72751986 1.         0.72918844 0.73863485
  0.77578837 0.        ]
 [0.96494416 0.919467   0.04409279 0.05331149 0.92262279 0.9300591
  1.         0.94294333 0.96141619 0.04785001 0.81303087 0.7166938
  0.02223304 0.02697964 0.72204405 0.73573784 1.         0.7614312
  0.80382621 0.02418433]
 [0.96733735 0.93046013 0.06865139 0.07039551 0.9369426  0.93527614
  0.94332434 1.         0.97208553 0.05420827 0.81967666 0.73668891
  0.03484087 0.03586542 0.74919863 0.74580831 0.76222865 1.
  0.8333251  0.02744612]
 [0.99211133 0.94882365 0.07625845 0.07311023 0.9495457  0.95284288
  0.96203073 0.97233355 1.         0.06403098 0.91171575 0.77409822
  0.03881504 0.03717833 0.77559606 0.78308511 0.8055068  0.83419876
  1.         0.03254395]
 [0.         0.         0.44886364 0.37098058 0.         0.
  0.         0.         0.         1.         0.         0.
  0.25715404 0.206625   0.         0.         0.         0.
  0.         1.        ]]"
401,"[1, 6, 7, 8, 9]",[1 7 9],1.0,1.0,[],[],"[3, 1, 2, 1, 1, 4, 4, 2, 4, 1]","[[1.         0.01630751 0.94258535 0.96065382 0.91138022 0.95803737
  0.96304423 0.00897638 0.91774037 0.         1.         0.00810391
  0.76043164 0.80173432 0.70256365 0.79501383 0.80781561 0.00439129
  0.71338053 0.        ]
 [0.37734528 1.         0.38216273 0.3967698  0.36418176 0.39376158
  0.39431035 0.60010499 0.38519401 0.50164043 0.21071534 1.
  0.21369648 0.22303292 0.20239458 0.22115516 0.221518   0.36728163
  0.21564241 0.29378215]
 [0.94360279 0.0429237  1.         0.97384705 0.93974744 0.98069796
  0.97336105 0.03070866 0.91755418 0.01953773 0.7627925  0.02158819
  1.         0.83847737 0.75496632 0.86158971 0.83716848 0.01548041
  0.71334295 0.00985464]
 [0.96262302 0.09720443 0.97473304 1.         0.94922786 0.99706609
  0.99880664 0.07658793 0.964698   0.05275187 0.8070448  0.04973641
  0.84123917 1.         0.77493554 0.94666845 0.96663883 0.03906121
  0.81241987 0.02678464]
 [0.91168123 0.         0.93882539 0.94664332 1.         0.9488882
  0.94645263 0.         0.89696135 0.00453423 0.70326181 0.
  0.75310845 0.76928419 1.         0.77452739 0.76929497 0.
  0.67953657 0.00234728]
 [0.95985845 0.08538148 0.98123778 0.99708114 0.95100544 1.
  0.99611195 0.06435696 0.95658003 0.04508423 0.79969182 0.04356031
  0.86340225 0.94645124 0.77915452 1.         0.93801076 0.03257535
  0.79218049 0.02282099]
 [0.96461351 0.08375073 0.97409385 0.99891029 0.9485983  0.9961782
  1.         0.06068241 0.96209131 0.04246691 0.81193451 0.04264706
  0.83907241 0.96645535 0.77370828 0.93792265 1.         0.03079176
  0.80555791 0.02143206]
 [0.30410262 0.55643564 0.30583546 0.31550885 0.29463393 0.31199815
  0.31115987 1.         0.30099799 0.41991374 0.16591763 0.33386353
  0.16699873 0.17280666 0.16026768 0.17060144 0.1702517  1.
  0.16404746 0.23820633]
 [0.91857422 0.03855562 0.9168672  0.96322242 0.897641   0.95506485
  0.96081149 0.01464567 1.         0.0101375  0.71484857 0.01934446
  0.71197277 0.80824454 0.68042783 0.78841637 0.80231707 0.0072698
  1.         0.00512191]
 [0.         0.21263832 0.         0.         0.         0.
  0.         0.17385827 0.         1.         0.         0.1124942
  0.         0.         0.         0.         0.         0.09067924
  0.         1.        ]]"
402,"[0, 1, 2, 6, 9]",[1 2 6 9],1.0,1.0,[],[],"[1, 5, 3, 4, 5, 3, 3, 5, 3, 1]","[[1.         0.         0.         0.49894966 0.52845228 0.52925619
  0.         0.38277248 0.50132239 0.         1.         0.
  0.         0.29311832 0.31417182 0.31480971 0.         0.21521535
  0.29485246 0.        ]
 [0.14258656 1.         0.66339671 0.19573862 0.14621611 0.18981196
  0.67198031 0.13427328 0.18916994 0.636444   0.07415984 1.
  0.41941927 0.10324977 0.07604678 0.09999786 0.42704172 0.06965781
  0.09955788 0.39680842]
 [0.29199182 0.72207494 1.         0.41345937 0.33191764 0.41248505
  0.6987048  0.29041141 0.38824088 0.60020205 0.15887067 0.47254019
  1.         0.23437079 0.18284927 0.23374015 0.45086008 0.15790591
  0.21802795 0.36753231]
 [0.6626007  0.36844586 0.44219313 1.         0.80860493 0.96916778
  0.38003282 0.728204   0.87606809 0.32670792 0.41990217 0.20514119
  0.25301784 1.         0.56312551 0.82466572 0.21250491 0.47929358
  0.64861075 0.17935654]
 [0.61297573 0.182809   0.22559127 0.76671168 1.         0.78638455
  0.19893923 0.56325384 0.5392292  0.17934083 0.37868371 0.09591059
  0.11989029 0.51771963 1.         0.53846825 0.1049297  0.3399147
  0.33543921 0.09406421]
 [0.67179332 0.34128667 0.42150323 0.96807713 0.81854553 1.
  0.353953   0.7142149  0.90214295 0.30289178 0.42783062 0.18825255
  0.23927673 0.82158731 0.57458033 1.         0.19610638 0.46602098
  0.68784576 0.16494822]
 [0.13809127 0.6702604  0.63318232 0.20635457 0.15868033 0.20122459
  1.         0.12975712 0.18486369 0.59863619 0.07177352 0.42556494
  0.39399781 0.1092675  0.08290635 0.10640829 1.         0.06727462
  0.09723624 0.36620615]
 [0.43389651 0.07396607 0.08079763 0.62979218 0.51192565 0.62403536
  0.07399051 1.         0.55296352 0.082864   0.24840918 0.03763976
  0.04119825 0.39232777 0.30219574 0.38759073 0.03765497 1.
  0.332268   0.04229673]
 [0.62858297 0.29568752 0.35647273 0.86300548 0.37220324 0.89554726
  0.29563969 0.6369995  1.         0.25520899 0.39139463 0.16058723
  0.19761235 0.63043593 0.24758302 0.6773649  0.1605865  0.39823489
  1.         0.1369106 ]
 [0.         0.57599859 0.43530839 0.         0.         0.
  0.53434332 0.         0.         1.         0.         0.34849275
  0.24807319 0.         0.         0.         0.31719913 0.
  0.         1.        ]]"
403,"[0, 2, 3, 5, 9]",[2 3 9],1.0,1.0,[],[],"[2, 1, 1, 2, 1, 2, 1, 1, 2, 2]","[[1.         0.66740702 0.         0.         0.68243548 0.63069115
  0.64714206 0.65949362 0.65999359 0.         1.         0.42408411
  0.         0.         0.43729248 0.39314291 0.40672951 0.41727059
  0.41773479 0.        ]
 [0.74489764 1.         0.25841375 0.26279578 0.97829566 0.86897298
  0.96818318 0.92424303 0.95303491 0.23305872 0.49553952 1.
  0.13874209 0.14130514 0.85332356 0.63849212 0.82172111 0.7250878
  0.78358365 0.12407265]
 [0.10461767 0.13423252 1.         0.6227885  0.12657449 0.07732497
  0.11783371 0.11167553 0.11402947 0.5415944  0.05405639 0.06989842
  1.         0.38563852 0.06577834 0.03985454 0.06111879 0.05787971
  0.05917412 0.32271378]
 [0.14924587 0.18224771 0.64158971 1.         0.1855742  0.15785938
  0.18421165 0.17335307 0.17328635 0.55302279 0.07783846 0.09598053
  0.40108425 1.         0.09781911 0.08259036 0.09706234 0.09104266
  0.09105686 0.33117266]
 [0.76035182 0.97875863 0.26374044 0.27746633 1.         0.90420212
  0.98074697 0.94620215 0.96808937 0.24523043 0.51103906 0.85449305
  0.14182447 0.14988424 1.         0.69082789 0.86145057 0.76847745
  0.82196276 0.13105668]
 [0.69351792 0.85825627 0.14482377 0.17852202 0.89459648 1.
  0.87020282 0.84876605 0.86563101 0.17012512 0.44709605 0.62397827
  0.07522721 0.09360071 0.67583052 1.         0.64015912 0.61155089
  0.63397299 0.08890585]
 [0.74514541 0.97007632 0.28840234 0.30742628 0.98149592 0.88703538
  1.         0.93768249 0.96588725 0.27775025 0.49572364 0.82699937
  0.15635204 0.16772543 0.86447196 0.66429091 1.         0.75047582
  0.81584409 0.150006  ]
 [0.73634984 0.9235553  0.23181488 0.24765198 0.94473393 0.85889685
  0.93319326 1.         0.92452755 0.22571853 0.48715274 0.72378515
  0.12347923 0.13252375 0.76551074 0.62477482 0.7416444  1.
  0.72577678 0.11992213]
 [0.73706216 0.95275209 0.23468576 0.24841645 0.96729988 0.87483206
  0.96355216 0.92468301 1.         0.22655476 0.4878226  0.78266906
  0.12512989 0.13297966 0.81977336 0.64661391 0.80942349 0.72591662
  1.         0.12037093]
 [0.         0.         0.48801494 0.47459046 0.         0.
  0.         0.         0.         1.         0.         0.
  0.28400994 0.27471782 0.         0.         0.         0.
  0.         1.        ]]"
404,"[0, 1, 3, 7, 9]",[0 1 7 9],1.0,1.0,[],[],"[2, 1, 1, 2, 1, 4, 3, 2, 1, 1]","[[1.         0.04398762 0.         0.         0.         0.
  0.         0.         0.         0.         1.         0.02148025
  0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.41330295 1.         0.38631185 0.42184098 0.42230287 0.37087564
  0.41115281 0.64339623 0.40209666 0.5335172  0.23391707 1.
  0.21710019 0.24010744 0.24029525 0.20728987 0.23315456 0.40320754
  0.22724206 0.3175297 ]
 [0.         0.         1.         0.8647566  0.88212711 0.84127029
  0.88687609 0.11421997 0.88370647 0.01701571 0.         0.
  1.         0.63300972 0.65736815 0.60237769 0.66440937 0.05962391
  0.65963431 0.01012824]
 [0.06542969 0.11949602 0.87353516 1.         0.97021685 0.92551546
  0.9661633  0.25149563 0.95306207 0.13710733 0.03330321 0.06171176
  0.64523167 1.         0.82776408 0.72764278 0.81649345 0.13563667
  0.78393921 0.07254031]
 [0.09548611 0.14849691 0.89331055 0.97117478 1.         0.94000169
  0.9930258  0.2907041  0.97805615 0.18614435 0.04901472 0.07718968
  0.67416215 0.83056339 1.         0.75548244 0.91735204 0.15861825
  0.85250437 0.09931724]
 [0.03553602 0.011229   0.84684245 0.92313275 0.93602471 1.
  0.93519312 0.12259549 0.92774224 0.01720269 0.01801405 0.00570903
  0.60954048 0.72333521 0.74751154 1.         0.74599231 0.06425929
  0.73182302 0.01026631]
 [0.08205838 0.11923077 0.89615885 0.96684955 0.99301161 0.93839836
  1.         0.25950299 0.97811538 0.15580591 0.04192935 0.06157583
  0.67848046 0.81813094 0.91673627 0.75217842 1.         0.14030003
  0.85230168 0.08260888]
 [0.41048177 0.65747126 0.47781033 0.5278818  0.53774632 0.46372817
  0.52442448 1.         0.51448117 0.60055161 0.23212432 0.41466021
  0.27790807 0.31341079 0.32062399 0.26828634 0.31096658 1.
  0.3037758  0.36858607]
 [0.08398438 0.10755968 0.89347331 0.95407704 0.97786509 0.93145059
  0.97816129 0.24560515 1.         0.13668661 0.04290456 0.055303
  0.67423755 0.78608515 0.85155669 0.73862053 0.85245202 0.13221238
  1.         0.07232184]
 [0.41970486 0.55897436 0.42957899 0.4642515  0.47791008 0.40870862
  0.46632584 0.60685688 0.45309168 1.         0.23812468 0.3358572
  0.24584113 0.26904831 0.27842419 0.23211359 0.27047378 0.37352009
  0.26154168 1.        ]]"
405,"[0, 1, 3, 5, 7]",[0 1 3 7],1.0,1.0,[],[],"[1, 3, 1, 1, 4, 3, 1, 3, 3, 2]","[[1.00000000e+00 4.52703667e-01 4.73610275e-03 5.63985228e-01
  0.00000000e+00 1.61802575e-02 2.34793780e-03 5.08446095e-01
  8.21941512e-04 3.55808575e-04 1.00000000e+00 2.60093877e-01
  2.55009984e-03 3.39507243e-01 3.22085171e-05 8.30624129e-03
  1.42243822e-03 2.98641410e-01 5.67633330e-04 3.94884016e-04]
 [5.35830947e-01 1.00000000e+00 1.55970299e-01 5.94813744e-01
  1.49841242e-01 1.46051502e-01 1.51198334e-01 6.04139029e-01
  1.48338813e-01 1.49706458e-01 3.18388456e-01 1.00000000e+00
  8.11356394e-02 3.63198994e-01 7.75878909e-02 7.57339501e-02
  7.85124680e-02 3.70518543e-01 7.69857515e-02 7.77212259e-02]
 [0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
  9.30494541e-01 8.93733906e-01 9.22429451e-01 0.00000000e+00
  9.21396435e-01 9.20788116e-01 0.00000000e+00 0.00000000e+00
  1.00000000e+00 0.00000000e+00 7.36339342e-01 6.74459415e-01
  7.21731044e-01 0.00000000e+00 7.19752848e-01 7.18807954e-01]
 [5.61842158e-01 5.19902982e-01 0.00000000e+00 1.00000000e+00
  3.47962246e-04 0.00000000e+00 0.00000000e+00 6.15326789e-01
  0.00000000e+00 0.00000000e+00 3.37818615e-01 3.06969523e-01
  0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 3.79589528e-01 0.00000000e+00 0.00000000e+00]
 [7.27104085e-02 7.03856946e-02 9.35741521e-01 7.74325626e-02
  1.00000000e+00 9.57768240e-01 9.90298144e-01 8.51684797e-02
  9.79062121e-01 9.79229674e-01 3.70445866e-02 3.57606589e-02
  7.46745839e-01 3.94692817e-02 1.00000000e+00 7.94918332e-01
  9.02117002e-01 4.35169050e-02 8.55747018e-01 8.55562487e-01]
 [7.54930032e-02 5.37404290e-02 9.00541842e-01 6.47479127e-02
  9.57244139e-01 1.00000000e+00 9.55787888e-01 7.52188910e-02
  9.43459076e-01 9.44538338e-01 3.84908839e-02 2.72247531e-02
  6.85172937e-01 3.29099448e-02 7.93517857e-01 1.00000000e+00
  7.90113022e-01 3.83090183e-02 7.62365327e-01 7.64865638e-01]
 [9.17449691e-02 8.87906026e-02 9.29640779e-01 9.39306358e-02
  9.90518029e-01 9.57167382e-01 1.00000000e+00 1.11391174e-01
  9.74995674e-01 9.75093400e-01 4.70123115e-02 4.53709756e-02
  7.35112578e-01 4.80884899e-02 9.02995344e-01 7.93407213e-01
  1.00000000e+00 5.73245666e-02 8.42075645e-01 8.42406582e-01]
 [5.51639311e-01 5.74261664e-01 9.22737307e-02 6.50850996e-01
  1.00213127e-01 1.02446352e-01 1.09777167e-01 1.00000000e+00
  1.09274961e-01 1.13058175e-01 3.30127353e-01 3.47358405e-01
  4.73284078e-02 4.08952568e-01 5.13429132e-02 5.26469858e-02
  5.65718593e-02 1.00000000e+00 5.62285852e-02 5.83610919e-02]
 [6.84356979e-02 6.36800304e-02 9.26951636e-01 7.20937701e-02
  9.78948284e-01 9.43862661e-01 9.74349887e-01 8.94578580e-02
  1.00000000e+00 9.81097669e-01 3.47775240e-02 3.23415229e-02
  7.30035713e-01 3.66921320e-02 8.55329944e-01 7.63294691e-01
  8.40184962e-01 4.56916770e-02 1.00000000e+00 8.62833549e-01]
 [9.35193773e-02 9.07880344e-02 9.28436685e-01 9.75032113e-02
  9.79731199e-01 9.46480687e-01 9.75191601e-01 1.18156894e-01
  9.81657726e-01 1.00000000e+00 4.78773706e-02 4.63998412e-02
  7.32847933e-01 4.99302110e-02 8.57135524e-01 7.69003877e-01
  8.42711487e-01 6.09327642e-02 8.64718534e-01 1.00000000e+00]]"
