fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
1,79.43,2.0408163265306123,72.3,0.0,37.29023742675781
2,77.67,1.0204081632653061,78.5,0.0,37.31260299682617
3,75.42,1.0204081632653061,55.8,0.0,37.32705307006836
4,79.22,2.0408163265306123,83.7,0.0,37.33787155151367
5,78.5,4.591836734693878,84.2,0.0,37.344093322753906
6,77.44,4.081632653061225,87.4,0.0,37.35567092895508
7,77.51,5.612244897959184,94.2,0.0,37.3572998046875
8,79.08,2.5510204081632653,80.6,0.0,37.364620208740234
9,80.43,1.530612244897959,78.0,0.0,37.36803436279297
10,79.16,1.530612244897959,84.6,0.0,37.37276840209961
11,76.73,2.0408163265306123,70.1,1.7934836149215698,37.37705612182617
12,78.89,0.5102040816326531,77.5,0.0,37.38036346435547
13,80.39,3.061224489795918,88.7,0.0,37.38226318359375
14,78.61,4.591836734693878,83.3,0.0,37.384666442871094
15,77.13,2.5510204081632653,76.1,0.0,37.38841247558594
16,80.4,2.0408163265306123,85.3,0.0,37.39106750488281
17,79.28,5.1020408163265305,83.6,1.8550976514816284,37.39405822753906
18,69.39,4.591836734693878,93.9,2.107611656188965,37.3978271484375
19,80.42,2.0408163265306123,83.8,0.0,37.399757385253906
20,81.57,2.5510204081632653,90.1,0.0,37.402103424072266
21,77.91,0.5102040816326531,78.5,0.0,37.40376663208008
22,78.48,2.5510204081632653,84.8,0.0,37.40236282348633
23,76.7,2.5510204081632653,86.1,0.0,37.40119934082031
24,75.59,2.0408163265306123,89.5,1.8134620189666748,37.40904998779297
25,78.11,1.530612244897959,77.8,0.0,37.41352081298828
26,75.4,2.5510204081632653,60.3,0.0,37.415618896484375
27,77.59,2.0408163265306123,79.3,1.9143818616867065,37.4174690246582
28,80.59,5.612244897959184,84.3,0.0,37.418521881103516
29,78.59,2.5510204081632653,78.6,0.0,37.41978454589844
30,75.05,1.530612244897959,60.3,0.0,37.41978073120117
31,76.92,1.530612244897959,80.1,0.0,37.42401123046875
32,79.64,2.5510204081632653,90.6,0.0,37.42806625366211
33,81.74,3.061224489795918,90.9,0.0,37.42961502075195
34,77.31,0.5102040816326531,66.6,0.0,37.429656982421875
35,73.12,1.0204081632653061,61.6,1.740585446357727,37.43169403076172
36,68.38,2.0408163265306123,76.2,0.0,37.43043899536133
37,79.18,1.530612244897959,72.9,0.0,37.43855285644531
38,75.08,0.5102040816326531,72.9,0.0,37.442317962646484
39,76.26,1.530612244897959,58.3,0.0,37.44877624511719
40,77.14,1.530612244897959,80.3,0.0,37.449893951416016
41,80.52,1.0204081632653061,77.1,0.0,37.45204162597656
42,76.15,1.0204081632653061,75.8,0.0,37.45396423339844
43,76.89,3.061224489795918,87.1,0.0,37.45907974243164
44,78.1,2.0408163265306123,82.6,0.0,37.45830535888672
45,76.55,7.653061224489796,92.3,0.0,37.455718994140625
46,78.58,1.0204081632653061,79.2,0.0,37.46250915527344
47,79.13,3.5714285714285716,87.7,0.0,37.461647033691406
48,76.6,1.0204081632653061,76.4,0.0,37.464073181152344
49,78.45,3.5714285714285716,86.5,0.0,37.466033935546875
50,76.9,1.530612244897959,81.1,0.0,37.468849182128906
51,79.02,4.081632653061225,77.8,0.0,37.46897506713867
52,70.12,3.061224489795918,77.7,0.0,37.46970748901367
53,67.3,0.0,25.6,0.0,37.47167205810547
54,74.19,1.0204081632653061,67.5,0.0,37.47970962524414
55,74.82,3.5714285714285716,64.2,0.0,37.48643493652344
56,79.96,2.0408163265306123,70.0,0.0,37.48991775512695
57,77.0,1.530612244897959,68.2,2.0393173694610596,37.49056625366211
58,76.21,0.0,66.8,2.0753612518310547,37.49252700805664
59,77.28,1.530612244897959,66.6,2.0741868019104004,37.49446487426758
60,60.86,1.0204081632653061,74.8,0.0,37.49653625488281
61,76.78,4.081632653061225,80.5,0.0,37.505775451660156
62,71.87,0.0,52.0,0.0,37.507259368896484
63,75.81,1.0204081632653061,75.0,0.0,37.51333236694336
64,78.14,1.0204081632653061,75.0,0.0,37.519859313964844
65,75.99,1.0204081632653061,74.9,0.0,37.51948928833008
66,78.67,2.5510204081632653,79.6,2.098477840423584,37.52602767944336
67,75.48,3.061224489795918,84.5,0.0,37.52602767944336
68,71.11,1.0204081632653061,37.6,0.0,37.529014587402344
69,66.92,0.5102040816326531,54.0,2.206348419189453,37.532413482666016
70,70.42,1.530612244897959,54.2,0.0,37.541221618652344
71,78.07,1.0204081632653061,78.8,1.85698401927948,37.54330062866211
72,66.86,1.530612244897959,65.1,0.0,37.54446792602539
73,78.12,1.530612244897959,75.3,2.1607604026794434,37.547611236572266
74,74.81,3.061224489795918,70.9,0.0,37.55304718017578
75,66.19,1.0204081632653061,71.9,0.0,37.55353927612305
